File Name,Dimension,Best Solution Reach Time(ms),Cost Value,Known Optimal,Gap(%)
burma14.tsp,14,792,3323.0,3323,0.00
ulysses16.tsp,16,279,6859.0,6859,0.00
gr17.tsp,17,288,2085.0,2085,0.00
gr21.tsp,21,305,2707.0,2707,0.00
ulysses22.tsp,22,311,7013.0,7013,0.00
gr24.tsp,24,320,1272.0,1272,0.00
bayg29.tsp,29,342,1610.0,1610,0.00
bays29.tsp,29,338,2020.0,2020,0.00
dantzig42.tsp,42,375,699.0,699,0.00
swiss42.tsp,42,375,1273.0,1273,0.00
att48.tsp,48,396,10628.0,10628,0.00
gr48.tsp,48,446,5046.0,5046,0.00
hk48.tsp,48,552,11461.0,11461,0.00
eil51.tsp,51,403,427.0,426,0.23
berlin52.tsp,52,398,7542.0,7542,0.00
brazil58.tsp,58,456,25395.0,25395,0.00
st70.tsp,70,516,675.0,675,0.00
eil76.tsp,76,786,538.0,538,0.00
pr76.tsp,76,465,108159.0,108159,0.00
gr96.tsp,96,951,55209.0,55209,0.00
rat99.tsp,99,683,1217.0,1211,0.50
kroA100.tsp,100,513,21282.0,21282,0.00
kroB100.tsp,100,607,22199.0,22141,0.26
kroC100.tsp,100,485,20852.0,20749,0.50
kroD100.tsp,100,502,21488.0,21294,0.91
kroE100.tsp,100,643,22106.0,22068,0.17
rd100.tsp,100,506,7944.0,7910,0.43
eil101.tsp,101,655,630.0,629,0.16
lin105.tsp,105,770,14379.0,14379,0.00
pr107.tsp,107,519,44391.0,44303,0.20
gr120.tsp,120,667,6970.0,6942,0.40
pr124.tsp,124,502,59030.0,59030,0.00
bier127.tsp,127,701,118313.0,118282,0.03
ch130.tsp,130,589,6128.0,6110,0.29
pr136.tsp,136,879,97011.0,96772,0.25
gr137.tsp,137,679,70260.0,69853,0.58
pr144.tsp,144,621,58590.0,58537,0.09
ch150.tsp,150,1223,6554.0,6528,0.40
kroA150.tsp,150,1015,26525.0,26524,0.00
kroB150.tsp,150,771,26130.0,26130,0.00
pr152.tsp,152,534,73818.0,73682,0.18
u159.tsp,159,1088,42416.0,42080,0.80
si175.tsp,175,782,21446.0,21407,0.18
brg180.tsp,180,994,1970.0,1950,1.03
rat195.tsp,195,1382,2360.0,2323,1.59
d198.tsp,198,1196,15803.0,15780,0.15
kroA200.tsp,200,1331,29368.0,29368,0.00
kroB200.tsp,200,881,29654.0,29437,0.74
gr202.tsp,202,1430,40557.0,40160,0.99
ts225.tsp,225,846,126643.0,126643,0.00
tsp225.tsp,225,1499,3996.0,3916,2.04
pr226.tsp,226,835,80839.0,80369,0.58
gr229.tsp,229,2574,135863.0,134602,0.94
gil262.tsp,262,2501,2406.0,2378,1.18
pr264.tsp,264,900,50008.0,49135,1.78
a280.tsp,280,3080,2617.0,2579,1.47
pr299.tsp,299,3703,48649.0,48191,0.95
lin318.tsp,318,4429,42506.0,42029,1.13
linhp318.tsp,318,3045,42634.0,41345,3.12
rd400.tsp,400,2517,15790.0,15281,3.33
fl417.tsp,417,2346,12034.0,11861,1.46
gr431.tsp,431,2191,175514.0,171414,2.39
pr439.tsp,439,5906,109689.0,107217,2.31
pcb442.tsp,442,4207,51784.0,50778,1.98
d493.tsp,493,5421,35886.0,35002,2.53
